sb19;sb10;null;[sb99,79.0,511.0,66.0,49.0]
sb89;null;sb12;[sb58,222.0,208.0,34.0,46.0]
sb49;null;sb58;[sb89,37.0,450.0,27.0,38.0]
sb34;null;sb89;[sb49,372.0,172.0,47.0,65.0]
sb29;null;sb49;[sb34,258.0,99.0,27.0,54.0]
sb67;null;sb34;[sb29,119.0,91.0,62.0,24.0]
sb25;null;sb29;[sb67,210.0,277.0,40.0,44.0]
sb57;null;sb67;[sb25,496.0,57.0,39.0,54.0]
sb64;null;sb25;[sb57,204.0,230.0,18.0,47.0]
sb6;null;sb57;[sb64,36.0,264.0,50.0,47.0]
sb69;null;sb64;[sb6,266.0,0.0,18.0,40.0]
sb74;null;sb6;[sb69,306.0,260.0,27.0,54.0]
null;null;sb69;[sb74,186.0,354.0,38.0,42.0]
sb92;sb65;sb12;[sb79,0.0,333.0,60.0,41.0]
sb28;null;sb79;[sb92,170.0,443.0,16.0,26.0]
sb98;null;sb92;[sb28,80.0,89.0,39.0,46.0]
sb37;null;sb28;[sb98,57.0,483.0,62.0,22.0]
sb78;null;sb98;[sb37,355.0,112.0,60.0,20.0]
sb30;null;sb37;[sb78,331.0,302.0,32.0,36.0]
sb55;null;sb78;[sb30,143.0,133.0,24.0,26.0]
null;null;sb30;[sb55,153.0,214.0,56.0,34.0]
sb84;sb38;sb79;[sb65,86.0,275.0,57.0,56.0]
sb75;null;sb65;[sb84,185.0,421.0,67.0,22.0]
sb42;null;sb84;[sb75,224.0,317.0,19.0,28.0]
sb33;null;sb75;[sb42,0.0,154.0,62.0,53.0]
sb96;null;sb42;[sb33,236.0,100.0,22.0,35.0]
sb54;null;sb33;[sb96,0.0,477.0,66.0,40.0]
null;null;sb96;[sb54,135.0,214.0,61.0,18.0]
sb9;sb59;sb65;[sb38,375.0,112.0,57.0,23.0]
sb1;null;sb38;[sb9,378.0,0.0,41.0,16.0]
sb72;null;sb9;[sb1,43.0,0.0,65.0,37.0]
sb41;null;sb1;[sb72,64.0,331.0,61.0,61.0]
sb40;null;sb72;[sb41,476.0,96.0,55.0,27.0]
sb91;null;sb41;[sb40,450.0,108.0,26.0,29.0]
sb2;null;sb40;[sb91,114.0,478.0,56.0,33.0]
sb16;null;sb91;[sb2,108.0,0.0,34.0,53.0]
sb94;null;sb2;[sb16,122.0,34.0,36.0,57.0]
null;null;sb16;[sb94,261.0,400.0,59.0,41.0]
sb73;null;sb38;[sb59,268.0,206.0,37.0,50.0]
null;null;sb59;[sb73,125.0,354.0,61.0,67.0]
