sb5;sb6;null;[sb79,0.0,0.0,41.0,60.0]
sb43;null;sb51;[sb21,2431.0,0.0,50.0,64.0]
sb50;null;sb21;[sb43,2481.0,0.0,46.0,61.0]
sb57;null;sb43;[sb50,2527.0,0.0,32.0,67.0]
sb73;null;sb50;[sb57,2559.0,0.0,18.0,47.0]
sb41;null;sb57;[sb73,178.0,0.0,61.0,67.0]
sb71;null;sb73;[sb41,2614.0,0.0,27.0,55.0]
sb10;null;sb41;[sb71,2641.0,0.0,22.0,64.0]
sb52;null;sb71;[sb10,2663.0,0.0,18.0,52.0]
sb39;null;sb10;[sb52,2681.0,0.0,45.0,54.0]
null;null;sb52;[sb39,2726.0,0.0,52.0,55.0]
sb19;sb34;sb25;[sb84,2778.0,0.0,22.0,67.0]
sb40;null;sb84;[sb19,2800.0,0.0,31.0,50.0]
sb76;null;sb19;[sb40,2831.0,0.0,26.0,29.0]
sb18;null;sb40;[sb76,2857.0,0.0,22.0,33.0]
sb97;null;sb76;[sb18,2879.0,0.0,48.0,51.0]
sb95;null;sb18;[sb97,2927.0,0.0,17.0,67.0]
sb68;null;sb97;[sb95,2944.0,0.0,19.0,51.0]
sb61;null;sb95;[sb68,2963.0,0.0,52.0,63.0]
sb66;null;sb68;[sb61,3015.0,0.0,23.0,33.0]
sb42;null;sb61;[sb66,3038.0,0.0,61.0,67.0]
sb53;null;sb66;[sb42,3099.0,0.0,53.0,62.0]
sb30;null;sb42;[sb53,3152.0,0.0,21.0,43.0]
null;null;sb53;[sb30,3173.0,0.0,24.0,26.0]
sb65;null;sb84;[sb34,3197.0,0.0,27.0,54.0]
sb98;null;sb34;[sb65,3224.0,0.0,56.0,57.0]
sb9;null;sb65;[sb98,3280.0,0.0,22.0,62.0]
sb83;null;sb98;[sb9,3302.0,0.0,16.0,41.0]
null;null;sb9;[sb83,3318.0,0.0,16.0,22.0]
