sb1;sb22;null;[sb0,0.0,0.0,27.0,15.0]
sb58;null;sb56;[sb57,175.0,29.0,47.0,48.0]
sb59;null;sb57;[sb58,222.0,36.0,25.0,25.0]
sb60;null;sb58;[sb59,247.0,31.0,38.0,47.0]
sb62;null;sb59;[sb60,294.0,31.0,39.0,16.0]
sb63;null;sb60;[sb62,364.0,48.0,46.0,36.0]
sb64;null;sb62;[sb63,410.0,21.0,36.0,46.0]
sb65;null;sb63;[sb64,446.0,42.0,33.0,15.0]
sb66;null;sb64;[sb65,479.0,42.0,13.0,23.0]
sb67;null;sb65;[sb66,492.0,42.0,42.0,45.0]
null;null;sb66;[sb67,534.0,37.0,14.0,33.0]
sb69;sb88;sb47;[sb68,548.0,44.0,28.0,45.0]
sb70;null;sb68;[sb69,576.0,44.0,36.0,27.0]
sb71;null;sb69;[sb70,612.0,23.0,16.0,45.0]
sb72;null;sb70;[sb71,628.0,44.0,34.0,32.0]
sb73;null;sb71;[sb72,662.0,44.0,32.0,15.0]
sb74;null;sb72;[sb73,694.0,29.0,12.0,46.0]
sb75;null;sb73;[sb74,706.0,29.0,43.0,34.0]
sb76;null;sb74;[sb75,749.0,24.0,20.0,37.0]
sb77;null;sb75;[sb76,769.0,43.0,39.0,36.0]
sb78;null;sb76;[sb77,808.0,40.0,40.0,18.0]
sb79;null;sb77;[sb78,848.0,40.0,42.0,16.0]
sb80;null;sb78;[sb79,890.0,30.0,40.0,25.0]
sb81;null;sb79;[sb80,930.0,36.0,36.0,15.0]
sb82;null;sb80;[sb81,966.0,36.0,15.0,32.0]
sb83;null;sb81;[sb82,981.0,46.0,39.0,24.0]
sb84;null;sb82;[sb83,1020.0,46.0,37.0,41.0]
sb85;null;sb83;[sb84,1057.0,30.0,34.0,38.0]
sb86;null;sb84;[sb85,1091.0,30.0,34.0,43.0]
sb87;null;sb85;[sb86,1125.0,47.0,39.0,44.0]
null;null;sb86;[sb87,1164.0,47.0,45.0,48.0]
sb89;sb107;sb68;[sb88,1209.0,25.0,29.0,44.0]
sb90;null;sb88;[sb89,1238.0,25.0,20.0,42.0]
sb91;null;sb89;[sb90,1258.0,24.0,46.0,24.0]
sb92;null;sb90;[sb91,1304.0,25.0,43.0,21.0]
sb93;null;sb91;[sb92,1347.0,40.0,45.0,47.0]
sb94;null;sb92;[sb93,1392.0,40.0,20.0,24.0]
sb95;null;sb93;[sb94,1412.0,48.0,31.0,19.0]
sb96;null;sb94;[sb95,1443.0,48.0,37.0,44.0]
sb97;null;sb95;[sb96,0.0,38.0,46.0,33.0]
sb98;null;sb96;[sb97,46.0,79.0,40.0,15.0]
sb99;null;sb97;[sb98,86.0,79.0,13.0,35.0]
sb100;null;sb98;[sb99,99.0,79.0,40.0,17.0]
sb101;null;sb99;[sb100,139.0,77.0,44.0,45.0]
sb102;null;sb100;[sb101,183.0,77.0,30.0,36.0]
sb103;null;sb101;[sb102,213.0,77.0,40.0,36.0]
sb104;null;sb102;[sb103,253.0,69.0,34.0,34.0]
sb105;null;sb103;[sb104,287.0,69.0,42.0,14.0]
sb106;null;sb104;[sb105,329.0,69.0,35.0,33.0]
null;null;sb105;[sb106,364.0,84.0,12.0,33.0]
sb108;sb126;sb88;[sb107,376.0,84.0,32.0,15.0]
sb109;null;sb107;[sb108,408.0,84.0,37.0,38.0]
sb110;null;sb108;[sb109,445.0,67.0,42.0,46.0]
sb111;null;sb109;[sb110,487.0,87.0,39.0,42.0]
sb112;null;sb110;[sb111,526.0,87.0,13.0,21.0]
sb113;null;sb111;[sb112,539.0,89.0,30.0,25.0]
sb114;null;sb112;[sb113,569.0,89.0,36.0,24.0]
sb115;null;sb113;[sb114,605.0,76.0,34.0,44.0]
sb116;null;sb114;[sb115,639.0,76.0,34.0,22.0]
sb117;null;sb115;[sb116,673.0,75.0,28.0,19.0]
sb118;null;sb116;[sb117,701.0,75.0,39.0,21.0]
sb119;null;sb117;[sb118,740.0,79.0,44.0,38.0]
sb120;null;sb118;[sb119,784.0,79.0,28.0,45.0]
sb121;null;sb119;[sb120,812.0,58.0,36.0,36.0]
sb122;null;sb120;[sb121,848.0,56.0,34.0,38.0]
sb123;null;sb121;[sb122,882.0,56.0,43.0,20.0]
sb124;null;sb122;[sb123,925.0,55.0,23.0,36.0]
sb125;null;sb123;[sb124,948.0,68.0,31.0,35.0]
null;null;sb124;[sb125,979.0,87.0,46.0,42.0]
sb127;sb148;sb107;[sb126,1025.0,87.0,22.0,12.0]
sb128;null;sb126;[sb127,1047.0,87.0,25.0,43.0]
sb129;null;sb127;[sb128,1072.0,73.0,44.0,28.0]
sb130;null;sb128;[sb129,1116.0,91.0,34.0,22.0]
sb131;null;sb129;[sb130,1150.0,95.0,30.0,26.0]
sb132;null;sb130;[sb131,1180.0,95.0,48.0,45.0]
sb133;null;sb131;[sb132,1228.0,69.0,18.0,39.0]
sb139;null;sb132;[sb133,1246.0,67.0,15.0,43.0]
sb134;null;sb133;[sb139,1440.0,85.0,36.0,37.0]
sb135;null;sb139;[sb134,1261.0,48.0,34.0,47.0]
sb136;null;sb134;[sb135,1295.0,48.0,45.0,15.0]
sb137;null;sb135;[sb136,1340.0,87.0,37.0,12.0]
sb138;null;sb136;[sb137,1377.0,87.0,21.0,28.0]
sb140;null;sb137;[sb138,1398.0,67.0,42.0,28.0]
sb141;null;sb138;[sb140,0.0,71.0,12.0,43.0]
sb142;null;sb140;[sb141,12.0,71.0,19.0,45.0]
sb143;null;sb141;[sb142,31.0,94.0,27.0,37.0]
sb144;null;sb142;[sb143,58.0,94.0,24.0,25.0]
sb145;null;sb143;[sb144,82.0,114.0,15.0,40.0]
sb146;null;sb144;[sb145,97.0,114.0,13.0,45.0]
sb234;null;sb145;[sb146,110.0,122.0,48.0,33.0]
null;null;sb146;[sb234,1313.0,132.0,33.0,18.0]
sb149;sb170;sb126;[sb148,188.0,113.0,18.0,20.0]
sb150;null;sb148;[sb149,206.0,113.0,47.0,22.0]
sb151;null;sb149;[sb150,253.0,103.0,23.0,31.0]
sb152;null;sb150;[sb151,276.0,103.0,18.0,42.0]
sb153;null;sb151;[sb152,294.0,83.0,16.0,19.0]
sb154;null;sb152;[sb153,310.0,102.0,41.0,30.0]
sb155;null;sb153;[sb154,351.0,117.0,22.0,17.0]
sb27;null;sb154;[sb155,373.0,117.0,25.0,14.0]
sb157;null;sb155;[sb27,830.0,0.0,38.0,40.0]
sb158;null;sb27;[sb157,426.0,122.0,20.0,25.0]
sb159;null;sb157;[sb158,446.0,113.0,23.0,13.0]
sb160;null;sb158;[sb159,469.0,129.0,44.0,32.0]
sb161;null;sb159;[sb160,513.0,129.0,27.0,16.0]
sb162;null;sb160;[sb161,540.0,114.0,46.0,47.0]
sb163;null;sb161;[sb162,586.0,120.0,31.0,18.0]
sb164;null;sb162;[sb163,617.0,120.0,33.0,22.0]
sb165;null;sb163;[sb164,650.0,98.0,36.0,41.0]
sb166;null;sb164;[sb165,686.0,96.0,21.0,17.0]
sb167;null;sb165;[sb166,707.0,117.0,34.0,36.0]
sb168;null;sb166;[sb167,741.0,117.0,36.0,37.0]
sb169;null;sb167;[sb168,777.0,124.0,24.0,41.0]
null;null;sb168;[sb169,801.0,124.0,24.0,39.0]
sb171;sb189;sb148;[sb170,825.0,94.0,29.0,45.0]
sb172;null;sb170;[sb171,854.0,94.0,22.0,40.0]
sb173;null;sb171;[sb172,876.0,94.0,27.0,13.0]
sb174;null;sb172;[sb173,903.0,91.0,25.0,32.0]
sb175;null;sb173;[sb174,928.0,103.0,43.0,16.0]
sb176;null;sb174;[sb175,971.0,129.0,15.0,16.0]
sb177;null;sb175;[sb176,986.0,129.0,33.0,38.0]
sb178;null;sb176;[sb177,1019.0,130.0,41.0,37.0]
sb179;null;sb177;[sb178,1060.0,130.0,17.0,19.0]
sb180;null;sb178;[sb179,1077.0,113.0,46.0,34.0]
sb181;null;sb179;[sb180,1123.0,113.0,19.0,40.0]
sb182;null;sb180;[sb181,1142.0,121.0,30.0,28.0]
sb183;null;sb181;[sb182,1172.0,140.0,45.0,24.0]
sb184;null;sb182;[sb183,1217.0,140.0,33.0,39.0]
sb185;null;sb183;[sb184,1250.0,110.0,46.0,25.0]
sb186;null;sb184;[sb185,1296.0,63.0,27.0,34.0]
sb187;null;sb185;[sb186,1323.0,99.0,31.0,33.0]
sb188;null;sb186;[sb187,1354.0,115.0,36.0,38.0]
null;null;sb187;[sb188,1390.0,115.0,37.0,40.0]
sb190;sb207;sb170;[sb189,1427.0,122.0,44.0,12.0]
sb191;null;sb189;[sb190,0.0,131.0,37.0,27.0]
sb192;null;sb190;[sb191,37.0,131.0,16.0,34.0]
sb193;null;sb191;[sb192,53.0,131.0,29.0,48.0]
sb194;null;sb192;[sb193,82.0,159.0,33.0,17.0]
sb195;null;sb193;[sb194,115.0,155.0,28.0,13.0]
sb196;null;sb194;[sb195,143.0,164.0,33.0,13.0]
sb197;null;sb195;[sb196,176.0,164.0,41.0,41.0]
sb198;null;sb196;[sb197,217.0,135.0,37.0,28.0]
sb199;null;sb197;[sb198,254.0,145.0,48.0,19.0]
sb200;null;sb198;[sb199,302.0,132.0,31.0,36.0]
sb201;null;sb199;[sb200,333.0,134.0,43.0,37.0]
sb202;null;sb200;[sb201,376.0,138.0,26.0,29.0]
sb203;null;sb201;[sb202,402.0,147.0,34.0,39.0]
sb204;null;sb202;[sb203,436.0,147.0,15.0,28.0]
sb205;null;sb203;[sb204,451.0,161.0,41.0,33.0]
sb206;null;sb204;[sb205,492.0,161.0,21.0,15.0]
null;null;sb205;[sb206,513.0,161.0,42.0,35.0]
sb208;sb227;sb189;[sb207,555.0,161.0,33.0,28.0]
sb209;null;sb207;[sb208,588.0,138.0,27.0,20.0]
sb210;null;sb208;[sb209,615.0,142.0,45.0,36.0]
sb211;null;sb209;[sb210,660.0,139.0,13.0,24.0]
sb221;null;sb210;[sb211,673.0,139.0,16.0,12.0]
sb213;null;sb211;[sb221,951.0,119.0,13.0,45.0]
sb214;null;sb221;[sb213,710.0,154.0,32.0,14.0]
sb215;null;sb213;[sb214,742.0,154.0,17.0,27.0]
sb216;null;sb214;[sb215,759.0,165.0,29.0,21.0]
sb217;null;sb215;[sb216,788.0,165.0,42.0,19.0]
sb218;null;sb216;[sb217,830.0,139.0,48.0,20.0]
sb219;null;sb217;[sb218,850.0,139.0,43.0,15.0]
sb220;null;sb218;[sb219,893.0,123.0,28.0,18.0]
sb212;null;sb219;[sb220,921.0,123.0,30.0,37.0]
sb222;null;sb220;[sb212,689.0,153.0,21.0,42.0]
sb223;null;sb212;[sb222,964.0,167.0,34.0,25.0]
sb224;null;sb222;[sb223,998.0,167.0,22.0,19.0]
sb225;null;sb223;[sb224,1020.0,167.0,45.0,21.0]
sb226;null;sb224;[sb225,1065.0,149.0,47.0,38.0]
null;null;sb225;[sb226,1112.0,153.0,39.0,16.0]
sb228;sb248;sb207;[sb227,1151.0,149.0,13.0,32.0]
sb229;null;sb227;[sb228,1164.0,164.0,21.0,20.0]
sb230;null;sb228;[sb229,1185.0,164.0,24.0,48.0]
sb61;null;sb229;[sb230,1209.0,179.0,30.0,33.0]
sb231;null;sb230;[sb61,333.0,24.0,31.0,45.0]
sb232;null;sb61;[sb231,1239.0,179.0,16.0,30.0]
sb233;null;sb231;[sb232,1255.0,135.0,42.0,23.0]
sb147;null;sb232;[sb233,1297.0,97.0,16.0,13.0]
sb235;null;sb233;[sb147,158.0,122.0,30.0,42.0]
sb236;null;sb147;[sb235,1346.0,153.0,22.0,46.0]
sb237;null;sb235;[sb236,1368.0,155.0,27.0,39.0]
sb238;null;sb236;[sb237,1395.0,155.0,21.0,40.0]
sb239;null;sb237;[sb238,1416.0,155.0,27.0,39.0]
sb240;null;sb238;[sb239,0.0,165.0,40.0,22.0]
sb241;null;sb239;[sb240,40.0,179.0,23.0,19.0]
sb242;null;sb240;[sb241,63.0,179.0,13.0,24.0]
sb243;null;sb241;[sb242,76.0,179.0,22.0,40.0]
sb244;null;sb242;[sb243,98.0,176.0,37.0,34.0]
sb245;null;sb243;[sb244,135.0,177.0,37.0,13.0]
sb246;null;sb244;[sb245,172.0,205.0,36.0,24.0]
sb247;null;sb245;[sb246,208.0,205.0,23.0,44.0]
null;null;sb246;[sb247,231.0,164.0,36.0,39.0]
sb249;sb265;sb227;[sb248,267.0,168.0,43.0,31.0]
sb250;null;sb248;[sb249,310.0,171.0,35.0,27.0]
sb251;null;sb249;[sb250,345.0,171.0,31.0,34.0]
sb252;null;sb250;[sb251,376.0,186.0,43.0,34.0]
sb253;null;sb251;[sb252,419.0,186.0,19.0,28.0]
sb254;null;sb252;[sb253,438.0,194.0,15.0,13.0]
sb255;null;sb253;[sb254,453.0,194.0,24.0,13.0]
sb256;null;sb254;[sb255,477.0,196.0,47.0,39.0]
sb257;null;sb255;[sb256,524.0,196.0,21.0,13.0]
sb258;null;sb256;[sb257,545.0,196.0,17.0,33.0]
sb259;null;sb257;[sb258,562.0,189.0,44.0,34.0]
sb260;null;sb258;[sb259,606.0,178.0,26.0,12.0]
sb261;null;sb259;[sb260,632.0,178.0,19.0,12.0]
sb262;null;sb260;[sb261,651.0,178.0,12.0,45.0]
sb263;null;sb261;[sb262,663.0,195.0,27.0,48.0]
sb264;null;sb262;[sb263,690.0,195.0,47.0,46.0]
null;null;sb263;[sb264,737.0,186.0,45.0,23.0]
sb266;sb282;sb248;[sb265,782.0,186.0,45.0,15.0]
sb267;null;sb265;[sb266,827.0,187.0,45.0,48.0]
sb268;null;sb266;[sb267,872.0,154.0,34.0,39.0]
sb269;null;sb267;[sb268,906.0,160.0,22.0,25.0]
sb270;null;sb268;[sb269,928.0,192.0,37.0,18.0]
sb271;null;sb269;[sb270,965.0,192.0,23.0,15.0]
sb272;null;sb270;[sb271,988.0,192.0,42.0,24.0]
sb273;null;sb271;[sb272,1030.0,188.0,24.0,35.0]
sb274;null;sb272;[sb273,1054.0,188.0,21.0,30.0]
sb275;null;sb273;[sb274,1075.0,187.0,33.0,21.0]
sb276;null;sb274;[sb275,1108.0,187.0,22.0,28.0]
sb277;null;sb275;[sb276,1130.0,181.0,31.0,14.0]
sb278;null;sb276;[sb277,1161.0,184.0,12.0,47.0]
sb279;null;sb277;[sb278,1173.0,212.0,13.0,42.0]
sb280;null;sb278;[sb279,1186.0,212.0,39.0,43.0]
sb281;null;sb279;[sb280,1225.0,212.0,31.0,22.0]
null;null;sb280;[sb281,1256.0,158.0,30.0,18.0]
sb283;sb299;sb265;[sb282,1286.0,158.0,44.0,30.0]
sb284;null;sb282;[sb283,1330.0,150.0,13.0,15.0]
sb285;null;sb283;[sb284,1343.0,199.0,30.0,21.0]
sb286;null;sb284;[sb285,1373.0,194.0,13.0,33.0]
sb287;null;sb285;[sb286,1386.0,195.0,36.0,41.0]
sb288;null;sb286;[sb287,0.0,198.0,42.0,21.0]
sb12;null;sb287;[sb288,42.0,203.0,28.0,36.0]
sb289;null;sb288;[sb12,347.0,0.0,17.0,19.0]
sb290;null;sb12;[sb289,70.0,219.0,33.0,37.0]
sb291;null;sb289;[sb290,103.0,210.0,16.0,27.0]
sb292;null;sb290;[sb291,119.0,210.0,28.0,43.0]
sb293;null;sb291;[sb292,147.0,190.0,24.0,39.0]
sb294;null;sb292;[sb293,171.0,249.0,43.0,19.0]
sb295;null;sb293;[sb294,214.0,249.0,17.0,26.0]
sb296;null;sb294;[sb295,231.0,203.0,43.0,13.0]
sb297;null;sb295;[sb296,274.0,199.0,16.0,27.0]
sb298;null;sb296;[sb297,290.0,199.0,38.0,31.0]
null;null;sb297;[sb298,328.0,205.0,33.0,40.0]
null;null;sb282;[sb299,361.0,205.0,13.0,13.0]
