sb51;sb94;null;[sb97,0.0,0.0,67.0,17.0]
sb71;null;sb29;[sb69,0.0,0.0,27.0,54.0]
sb3;null;sb69;[sb71,0.0,0.0,22.0,64.0]
sb80;null;sb71;[sb3,0.0,0.0,37.0,67.0]
sb26;null;sb3;[sb80,0.0,0.0,16.0,58.0]
sb46;null;sb80;[sb26,0.0,0.0,40.0,55.0]
sb82;null;sb26;[sb46,0.0,0.0,39.0,22.0]
sb56;null;sb46;[sb82,0.0,0.0,57.0,47.0]
sb86;null;sb82;[sb56,0.0,0.0,63.0,17.0]
sb57;null;sb56;[sb86,0.0,0.0,37.0,56.0]
sb6;null;sb86;[sb57,0.0,0.0,47.0,18.0]
sb33;null;sb57;[sb6,0.0,0.0,18.0,40.0]
sb91;null;sb6;[sb33,0.0,0.0,35.0,22.0]
sb36;null;sb33;[sb91,0.0,0.0,56.0,33.0]
sb30;null;sb91;[sb36,0.0,0.0,67.0,39.0]
sb77;null;sb36;[sb30,0.0,0.0,24.0,26.0]
sb47;null;sb30;[sb77,0.0,0.0,57.0,66.0]
sb87;null;sb77;[sb47,0.0,0.0,33.0,65.0]
sb58;null;sb47;[sb87,0.0,0.0,39.0,44.0]
sb62;null;sb87;[sb58,0.0,0.0,34.0,46.0]
sb98;null;sb58;[sb62,0.0,0.0,19.0,60.0]
sb0;null;sb62;[sb98,0.0,0.0,22.0,62.0]
sb35;null;sb98;[sb0,0.0,0.0,33.0,43.0]
null;null;sb0;[sb35,0.0,0.0,31.0,38.0]
sb78;null;sb65;[sb81,0.0,0.0,50.0,40.0]
sb90;null;sb81;[sb78,0.0,0.0,36.0,32.0]
sb38;null;sb78;[sb90,0.0,0.0,39.0,33.0]
sb53;null;sb90;[sb38,0.0,0.0,23.0,57.0]
sb83;null;sb38;[sb53,0.0,0.0,21.0,43.0]
sb24;null;sb53;[sb83,0.0,0.0,16.0,22.0]
sb5;null;sb83;[sb24,0.0,0.0,28.0,45.0]
sb74;null;sb24;[sb5,0.0,0.0,49.0,39.0]
sb43;null;sb5;[sb74,0.0,0.0,38.0,42.0]
sb44;null;sb74;[sb43,0.0,0.0,61.0,46.0]
sb41;null;sb43;[sb44,0.0,0.0,47.0,65.0]
sb37;null;sb44;[sb41,0.0,0.0,27.0,55.0]
sb88;null;sb41;[sb37,0.0,0.0,20.0,60.0]
sb63;null;sb37;[sb88,0.0,0.0,24.0,37.0]
sb52;null;sb88;[sb63,0.0,0.0,36.0,45.0]
sb99;null;sb63;[sb52,0.0,0.0,54.0,45.0]
sb50;null;sb52;[sb99,0.0,0.0,49.0,66.0]
sb11;null;sb99;[sb50,0.0,0.0,32.0,67.0]
sb7;null;sb50;[sb11,0.0,0.0,59.0,39.0]
sb13;null;sb11;[sb7,0.0,0.0,22.0,40.0]
sb92;null;sb7;[sb13,0.0,0.0,57.0,48.0]
sb28;null;sb13;[sb92,0.0,0.0,16.0,26.0]
sb16;null;sb92;[sb28,0.0,0.0,39.0,46.0]
sb27;null;sb28;[sb16,0.0,0.0,36.0,57.0]
sb18;null;sb16;[sb27,0.0,0.0,65.0,25.0]
sb85;null;sb27;[sb18,0.0,0.0,48.0,51.0]
null;null;sb18;[sb85,0.0,0.0,20.0,25.0]
